fecha,servicio,tipo_opcion,plato
2026-08-01,Almuerzo,Opción 1,Lentejas Pancho Villa
2026-08-01,Almuerzo,Opción 2,Pastel de papa
2026-08-01,Almuerzo,Hipocalórico,Ensalada César
2026-08-01,Cena,Opción 1,Albóndigas atomatadas con espirales
2026-08-01,Cena,Opción 2,Chuleta arvejada con arroz
2026-08-01,Cena,Hipocalórico,Omelette tomate queso con ensalada mix
2026-08-02,Almuerzo,Opción 1,Cazuela de ave
2026-08-02,Almuerzo,Opción 2,Cerdo acaramelado con espirales
2026-08-02,Almuerzo,Hipocalórico,Croqueta de lentejas con verduras al horno
2026-08-02,Cena,Opción 1,Pizza variedad
2026-08-02,Cena,Opción 2,Pizza variedad
2026-08-02,Cena,Hipocalórico,Pollo a la plancha con verduras al horno
2026-08-03,Almuerzo,Opción 1,Budín zapallo italiano molida con puré
2026-08-03,Almuerzo,Opción 2,Garbanzos guisados
2026-08-03,Almuerzo,Hipocalórico,Tomate relleno con ensalada mix
2026-08-03,Cena,Opción 1,Tomaticán de vacuno con arroz
2026-08-03,Cena,Opción 2,Spaghetti con salsa boloñesa
2026-08-03,Cena,Hipocalórico,Crepe de verduras pollo con ensalada mix
2026-08-04,Almuerzo,Opción 1,Estofado vacuno
2026-08-04,Almuerzo,Opción 2,Pollo al jugo con arroz
2026-08-04,Almuerzo,Hipocalórico,Omelette jamón queso con verduras al horno
2026-08-04,Cena,Opción 1,Lentejas guisadas
2026-08-04,Cena,Opción 2,Milanesa de vacuno con puré
2026-08-04,Cena,Hipocalórico,Hamburguesa vacuno con ensalada mix
2026-08-05,Almuerzo,Opción 1,Porotos con rienda y longaniza
2026-08-05,Almuerzo,Opción 2,Chupe de mariscos
2026-08-05,Almuerzo,Hipocalórico,Torta salada de jurel
2026-08-05,Cena,Opción 1,Completo con papas fritas
2026-08-05,Cena,Opción 2,Completo con papas fritas
2026-08-05,Cena,Hipocalórico,Salpicón de ave
2026-08-06,Almuerzo,Opción 1,Carbonada de vacuno
2026-08-06,Almuerzo,Opción 2,Asado alemán con puré
2026-08-06,Almuerzo,Hipocalórico,Bistec de vacuno con verduras al horno
2026-08-06,Cena,Opción 1,Paella
2026-08-06,Cena,Opción 2,Lasaña boloñesa
2026-08-06,Cena,Hipocalórico,Pescado cancato con verduras al horno
2026-08-07,Almuerzo,Opción 1,Lentejas guisadas
2026-08-07,Almuerzo,Opción 2,Charquicán de vacuno con huevo frito
2026-08-07,Almuerzo,Hipocalórico,Omelette pollo pimentón con ensalada mix
2026-08-07,Cena,Opción 1,Chuleta al jugo con papas fritas
2026-08-07,Cena,Opción 2,Chuleta al jugo con papas fritas
2026-08-07,Cena,Hipocalórico,Albóndiga vacuno con ensalada mix
2026-08-08,Almuerzo,Opción 1,Cazuela de osobuco
2026-08-08,Almuerzo,Opción 2,Carne asada con puré
2026-08-08,Almuerzo,Hipocalórico,Ensalada campestre
2026-08-08,Cena,Opción 1,Lasaña de verduras y ave
2026-08-08,Cena,Opción 2,Pescado al horno con quinoa y verduras
2026-08-08,Cena,Hipocalórico,Bistec de vacuno con verduras al horno
2026-08-09,Almuerzo,Opción 1,Estofado mixto
2026-08-09,Almuerzo,Opción 2,Porotos con pilco
2026-08-09,Almuerzo,Hipocalórico,Salpicón de atún
2026-08-09,Cena,Opción 1,Lentejas Pancho Villa
2026-08-09,Cena,Opción 2,Pollo arvejado con arroz
2026-08-09,Cena,Hipocalórico,Ensalada Nicoise
2026-08-10,Almuerzo,Opción 1,Carbonada de ave
2026-08-10,Almuerzo,Opción 2,Hamburguesa atomatada con fideos
2026-08-10,Almuerzo,Hipocalórico,Pollo al horno con ensalada mix
2026-08-10,Cena,Opción 1,Sándwich churrasco con papas fritas
2026-08-10,Cena,Opción 2,Sándwich churrasco con papas fritas
2026-08-10,Cena,Hipocalórico,Omelette jamón queso con ensalada mix
2026-08-11,Almuerzo,Opción 1,Garbanzos guisados
2026-08-11,Almuerzo,Opción 2,Chupe de mariscos
2026-08-11,Almuerzo,Hipocalórico,Pescado con verduras al horno
2026-08-11,Cena,Opción 1,Milanesa de pollo con fideos
2026-08-11,Cena,Opción 2,Vacuno saltado con arroz
2026-08-11,Cena,Hipocalórico,Torta salada de jurel
2026-08-12,Almuerzo,Opción 1,Cerdo a la mostaza con quinoa y verduras
2026-08-12,Almuerzo,Opción 2,Ragout de pollo con arroz
2026-08-12,Almuerzo,Hipocalórico,Quiche de espinaca y tomate con ensalada mix
2026-08-12,Cena,Opción 1,Pescado frito con puré
2026-08-12,Cena,Opción 2,Zapallo italiano relleno con verduras salteadas
2026-08-12,Cena,Hipocalórico,Wraps de vacuno con verduras al horno
2026-08-13,Almuerzo,Opción 1,Valdiviano
2026-08-13,Almuerzo,Opción 2,Spaghetti con salsa boloñesa
2026-08-13,Almuerzo,Hipocalórico,Crepe de espinaca pollo con verduras al horno
2026-08-13,Cena,Opción 1,Completo con papas fritas
2026-08-13,Cena,Opción 2,Completo con papas fritas
2026-08-13,Cena,Hipocalórico,Croqueta de zapallo italiano con ensalada mix
2026-08-14,Almuerzo,Opción 1,Cazuela de ave
2026-08-14,Almuerzo,Opción 2,Pollo arvejado con arroz zanahoria
2026-08-14,Almuerzo,Hipocalórico,Omelette jamón queso con ensalada mix
2026-08-14,Cena,Opción 1,Bistec a lo pobre
2026-08-14,Cena,Opción 2,Bistec a lo pobre
2026-08-14,Cena,Hipocalórico,Pollo al horno con verduras al horno
2026-08-15,Almuerzo,Opción 1,Porotos con rienda y longaniza
2026-08-15,Almuerzo,Opción 2,Asado alemán con espirales
2026-08-15,Almuerzo,Hipocalórico,Torta salada de jurel
2026-08-15,Cena,Opción 1,Budín zapallo italiano molida con puré
2026-08-15,Cena,Opción 2,Paella
2026-08-15,Cena,Hipocalórico,Quiche de ave y verduras con ensalada mix
2026-08-16,Almuerzo,Opción 1,Ajiaco
2026-08-16,Almuerzo,Opción 2,Pastel de papa
2026-08-16,Almuerzo,Hipocalórico,Wraps de ave con verduras al horno
